component,kind,version_used,version_source,sbom_versionInfo,cpe_version,version_conflict,matchable,unresolved_reason,oe_current_version,behind_oe,total_cves,kev,with_exploit,NVD,Debian,Ubuntu,Alpine,OSV,crates.io/RustSec,GHSA,cve_list
curl,native,8.0.1,sbom versionInfo,curl-8_0_1,7.87.0,YES,YES,,8.21.0,YES,183,0,1,39,42,176,62,0,0,0,CVE-2005-0490;CVE-2005-3185;CVE-2005-4077;CVE-2006-1061;CVE-2007-3564;CVE-2009-0037;CVE-2009-2417;CVE-2010-3842;CVE-2011-2192;CVE-2013-1944;CVE-2013-2174;CVE-2013-4545;CVE-2014-0015;CVE-2014-0138;CVE-2014-0139;CVE-2014-2522;CVE-2014-3613;CVE-2014-3707;CVE-2014-8150;CVE-2014-8151;CVE-2015-3143;CVE-2015-3148;CVE-2015-3153;CVE-2015-3236;CVE-2015-3237;CVE-2016-0754;CVE-2016-0755;CVE-2016-3739;CVE-2016-4802;CVE-2016-7141;CVE-2016-7167;CVE-2016-8615;CVE-2016-8616;CVE-2016-8617;CVE-2016-8618;CVE-2016-8619;CVE-2016-8621;CVE-2016-8622;CVE-2016-8623;CVE-2016-8624;CVE-2016-9594;CVE-2016-9952;CVE-2016-9953;CVE-2017-1000099;CVE-2017-1000101;CVE-2017-1000254;CVE-2017-1000257;CVE-2017-2628;CVE-2017-7468;CVE-2017-8816;CVE-2017-8817;CVE-2017-8818;CVE-2017-9502;CVE-2018-1000005;CVE-2018-1000007;CVE-2018-1000120;CVE-2018-1000121;CVE-2018-1000122;CVE-2018-1000301;CVE-2018-14618;CVE-2018-16839;CVE-2018-16842;CVE-2018-16890;CVE-2019-15601;CVE-2019-3822;CVE-2019-3823;CVE-2019-5435;CVE-2019-5436;CVE-2019-5443;CVE-2019-5481;CVE-2019-5482;CVE-2020-8169;CVE-2020-8177;CVE-2020-8284;CVE-2020-8285;CVE-2020-8286;CVE-2021-22876;CVE-2021-22890;CVE-2021-22897;CVE-2021-22898;CVE-2021-22922;CVE-2021-22923;CVE-2021-22924;CVE-2021-22925;CVE-2021-22926;CVE-2021-22946;CVE-2021-22947;CVE-2022-22576;CVE-2022-27774;CVE-2022-27775;CVE-2022-27776;CVE-2022-27778;CVE-2022-27779;CVE-2022-27780;CVE-2022-27781;CVE-2022-27782;CVE-2022-30115;CVE-2022-32205;CVE-2022-32206;CVE-2022-32207;CVE-2022-32208;CVE-2022-32221;CVE-2022-35252;CVE-2022-35260;CVE-2022-42915;CVE-2022-42916;CVE-2022-43552;CVE-2023-23914;CVE-2023-23915;CVE-2023-23916;CVE-2023-27533;CVE-2023-27534;CVE-2023-27535;CVE-2023-27536;CVE-2023-27538;CVE-2023-28319;CVE-2023-28320;CVE-2023-28321;CVE-2023-28322;CVE-2023-32001;CVE-2023-38039;CVE-2023-38545;CVE-2023-38546;CVE-2023-46218;CVE-2023-46219;CVE-2023-52071;CVE-2024-0853;CVE-2024-11053;CVE-2024-2004;CVE-2024-2379;CVE-2024-2398;CVE-2024-2466;CVE-2024-6197;CVE-2024-6874;CVE-2024-7264;CVE-2024-8096;CVE-2024-9681;CVE-2025-0167;CVE-2025-0665;CVE-2025-0725;CVE-2025-10148;CVE-2025-10966;CVE-2025-11563;CVE-2025-13034;CVE-2025-14017;CVE-2025-14524;CVE-2025-14819;CVE-2025-15079;CVE-2025-15224;CVE-2025-4947;CVE-2025-5025;CVE-2025-5399;CVE-2025-9086;CVE-2026-10536;CVE-2026-11352;CVE-2026-11564;CVE-2026-11586;CVE-2026-11856;CVE-2026-12064;CVE-2026-1965;CVE-2026-3783;CVE-2026-3784;CVE-2026-3805;CVE-2026-4873;CVE-2026-5545;CVE-2026-5773;CVE-2026-6253;CVE-2026-6276;CVE-2026-6429;CVE-2026-7009;CVE-2026-7168;CVE-2026-8286;CVE-2026-8458;CVE-2026-8924;CVE-2026-8925;CVE-2026-8926;CVE-2026-8927;CVE-2026-8932;CVE-2026-9079;CVE-2026-9080;CVE-2026-9545;CVE-2026-9546;CVE-2026-9547
tcpdump,native,4.99.3,sbom versionInfo,tcpdump-4.99.3,4.9.3,YES,YES,,,,149,0,7,1,3,147,0,0,0,0,CVE-2003-0108;CVE-2004-0183;CVE-2004-0184;CVE-2005-1267;CVE-2005-1278;CVE-2005-1279;CVE-2005-1280;CVE-2007-1218;CVE-2007-3798;CVE-2014-8767;CVE-2014-8769;CVE-2014-9140;CVE-2016-7922;CVE-2016-7923;CVE-2016-7924;CVE-2016-7925;CVE-2016-7926;CVE-2016-7927;CVE-2016-7928;CVE-2016-7929;CVE-2016-7930;CVE-2016-7931;CVE-2016-7932;CVE-2016-7933;CVE-2016-7934;CVE-2016-7935;CVE-2016-7936;CVE-2016-7937;CVE-2016-7938;CVE-2016-7939;CVE-2016-7940;CVE-2016-7973;CVE-2016-7974;CVE-2016-7975;CVE-2016-7983;CVE-2016-7984;CVE-2016-7985;CVE-2016-7986;CVE-2016-7992;CVE-2016-7993;CVE-2016-8574;CVE-2016-8575;CVE-2017-11108;CVE-2017-11541;CVE-2017-11542;CVE-2017-11543;CVE-2017-11544;CVE-2017-11545;CVE-2017-12893;CVE-2017-12894;CVE-2017-12895;CVE-2017-12896;CVE-2017-12897;CVE-2017-12898;CVE-2017-12899;CVE-2017-12900;CVE-2017-12901;CVE-2017-12902;CVE-2017-12985;CVE-2017-12986;CVE-2017-12987;CVE-2017-12988;CVE-2017-12989;CVE-2017-12990;CVE-2017-12991;CVE-2017-12992;CVE-2017-12993;CVE-2017-12994;CVE-2017-12995;CVE-2017-12996;CVE-2017-12997;CVE-2017-12998;CVE-2017-12999;CVE-2017-13000;CVE-2017-13001;CVE-2017-13002;CVE-2017-13003;CVE-2017-13004;CVE-2017-13005;CVE-2017-13006;CVE-2017-13007;CVE-2017-13008;CVE-2017-13009;CVE-2017-13010;CVE-2017-13011;CVE-2017-13012;CVE-2017-13013;CVE-2017-13014;CVE-2017-13015;CVE-2017-13016;CVE-2017-13017;CVE-2017-13018;CVE-2017-13019;CVE-2017-13020;CVE-2017-13021;CVE-2017-13022;CVE-2017-13023;CVE-2017-13024;CVE-2017-13025;CVE-2017-13026;CVE-2017-13027;CVE-2017-13028;CVE-2017-13029;CVE-2017-13030;CVE-2017-13031;CVE-2017-13032;CVE-2017-13033;CVE-2017-13034;CVE-2017-13035;CVE-2017-13036;CVE-2017-13037;CVE-2017-13038;CVE-2017-13039;CVE-2017-13040;CVE-2017-13041;CVE-2017-13042;CVE-2017-13043;CVE-2017-13044;CVE-2017-13045;CVE-2017-13046;CVE-2017-13047;CVE-2017-13048;CVE-2017-13049;CVE-2017-13050;CVE-2017-13051;CVE-2017-13052;CVE-2017-13053;CVE-2017-13054;CVE-2017-13055;CVE-2017-13687;CVE-2017-13688;CVE-2017-13689;CVE-2017-13690;CVE-2017-13725;CVE-2017-5202;CVE-2017-5203;CVE-2017-5204;CVE-2017-5205;CVE-2017-5341;CVE-2017-5342;CVE-2017-5482;CVE-2017-5483;CVE-2017-5484;CVE-2017-5485;CVE-2017-5486;CVE-2018-19519;CVE-2019-1010220;CVE-2023-1801;CVE-2024-2397
libcups,native,2.3.3,sbom versionInfo,v2.3.3,2.3.3,,YES,,2.4.19,YES,140,0,14,1,21,140,16,0,0,0,CVE-2004-0558;CVE-2004-0888;CVE-2004-0923;CVE-2004-1125;CVE-2004-1267;CVE-2004-1268;CVE-2004-1269;CVE-2004-1270;CVE-2004-2154;CVE-2005-0064;CVE-2005-0206;CVE-2005-2097;CVE-2005-2874;CVE-2005-3191;CVE-2005-3192;CVE-2005-3193;CVE-2005-3624;CVE-2005-3625;CVE-2005-3627;CVE-2005-4873;CVE-2006-1244;CVE-2007-0720;CVE-2007-4045;CVE-2007-4351;CVE-2007-4352;CVE-2007-5392;CVE-2007-5393;CVE-2007-5848;CVE-2007-5849;CVE-2007-6358;CVE-2008-0047;CVE-2008-0053;CVE-2008-0596;CVE-2008-0597;CVE-2008-0882;CVE-2008-1373;CVE-2008-1374;CVE-2008-1722;CVE-2008-3639;CVE-2008-3640;CVE-2008-3641;CVE-2008-5183;CVE-2008-5286;CVE-2009-0032;CVE-2009-0146;CVE-2009-0163;CVE-2009-0164;CVE-2009-0166;CVE-2009-0791;CVE-2009-0799;CVE-2009-0800;CVE-2009-0949;CVE-2009-1179;CVE-2009-1180;CVE-2009-1181;CVE-2009-1182;CVE-2009-1183;CVE-2009-1187;CVE-2009-1188;CVE-2009-1196;CVE-2009-2807;CVE-2009-2820;CVE-2009-3553;CVE-2010-0302;CVE-2010-0393;CVE-2010-0540;CVE-2010-0542;CVE-2010-1748;CVE-2010-2431;CVE-2010-2432;CVE-2010-2941;CVE-2010-5325;CVE-2012-4510;CVE-2012-5519;CVE-2012-6094;CVE-2013-6473;CVE-2013-6474;CVE-2013-6475;CVE-2013-6476;CVE-2013-6891;CVE-2014-2707;CVE-2014-2856;CVE-2014-3537;CVE-2014-4336;CVE-2014-4337;CVE-2014-4338;CVE-2014-5029;CVE-2014-5030;CVE-2014-5031;CVE-2014-8166;CVE-2014-9679;CVE-2015-1158;CVE-2015-1159;CVE-2015-2265;CVE-2015-2305;CVE-2015-3258;CVE-2015-3279;CVE-2015-6520;CVE-2015-8327;CVE-2015-8560;CVE-2017-7884;CVE-2018-4180;CVE-2018-4181;CVE-2018-4182;CVE-2018-4183;CVE-2018-4700;CVE-2018-6553;CVE-2019-8675;CVE-2019-8696;CVE-2020-10001;CVE-2020-3898;CVE-2021-25317;CVE-2022-26691;CVE-2023-24805;CVE-2023-32324;CVE-2023-32360;CVE-2023-34241;CVE-2023-4504;CVE-2024-35235;CVE-2024-47076;CVE-2024-47175;CVE-2024-47176;CVE-2024-47850;CVE-2025-57812;CVE-2025-58060;CVE-2025-58364;CVE-2025-58436;CVE-2025-61915;CVE-2025-64503;CVE-2025-64524;CVE-2026-27447;CVE-2026-34978;CVE-2026-34979;CVE-2026-34980;CVE-2026-34990;CVE-2026-39314;CVE-2026-39316;CVE-2026-41079;CVE-2026-64611;CVE-2026-64612
libxml2,native,2.11.0,resolved-from-AOSP-source,e7c3a4ca1be916d84e8182fb5de3a9c7a27bfe11,2.9.2,YES,YES,,2.15.3,YES,98,0,4,17,3,97,13,0,0,0,CVE-2004-0989;CVE-2007-6284;CVE-2008-3281;CVE-2008-3529;CVE-2008-3538;CVE-2008-4225;CVE-2008-4226;CVE-2008-4409;CVE-2009-2414;CVE-2009-2416;CVE-2010-4008;CVE-2011-0216;CVE-2011-1944;CVE-2011-2821;CVE-2011-2834;CVE-2011-3102;CVE-2011-3905;CVE-2011-3919;CVE-2012-0841;CVE-2012-2807;CVE-2012-5134;CVE-2013-0338;CVE-2013-1969;CVE-2013-2877;CVE-2014-0191;CVE-2014-3660;CVE-2015-5312;CVE-2015-7115;CVE-2015-7116;CVE-2015-7497;CVE-2015-7498;CVE-2015-7499;CVE-2015-7500;CVE-2015-7942;CVE-2015-8035;CVE-2015-8241;CVE-2015-8242;CVE-2015-8710;CVE-2016-1761;CVE-2016-4614;CVE-2016-4615;CVE-2016-4616;CVE-2016-4619;CVE-2016-9318;CVE-2016-9596;CVE-2016-9597;CVE-2016-9598;CVE-2017-15412;CVE-2017-16932;CVE-2017-18258;CVE-2017-5130;CVE-2017-5969;CVE-2017-7010;CVE-2017-7013;CVE-2017-7375;CVE-2017-7376;CVE-2017-8872;CVE-2017-9047;CVE-2017-9048;CVE-2017-9049;CVE-2017-9050;CVE-2018-14404;CVE-2018-14567;CVE-2018-9251;CVE-2019-19956;CVE-2020-27920;CVE-2020-9926;CVE-2022-29824;CVE-2022-49043;CVE-2023-28484;CVE-2023-29469;CVE-2023-39615;CVE-2023-45322;CVE-2024-25062;CVE-2024-34459;CVE-2024-40896;CVE-2024-56171;CVE-2025-12863;CVE-2025-24928;CVE-2025-26434;CVE-2025-27113;CVE-2025-32414;CVE-2025-32415;CVE-2025-49794;CVE-2025-49795;CVE-2025-49796;CVE-2025-6021;CVE-2025-6170;CVE-2025-7425;CVE-2025-8732;CVE-2025-9714;CVE-2026-0989;CVE-2026-0990;CVE-2026-0992;CVE-2026-11979;CVE-2026-1757;CVE-2026-6653;CVE-2026-6732
freetype,native,2.12.1,resolved-from-AOSP-source,0b62c1e43dc4b0e3c50662aac757e4f7321e5466,2.10.4,YES,YES,,2.14.3,YES,89,2,3,1,2,89,1,0,0,0,CVE-2006-0747;CVE-2006-1861;CVE-2006-2493;CVE-2006-2661;CVE-2006-3467;CVE-2007-1351;CVE-2007-2754;CVE-2007-3506;CVE-2008-1806;CVE-2008-1807;CVE-2008-1808;CVE-2009-0946;CVE-2010-1797;CVE-2010-2497;CVE-2010-2498;CVE-2010-2499;CVE-2010-2500;CVE-2010-2519;CVE-2010-2520;CVE-2010-2527;CVE-2010-2541;CVE-2010-2805;CVE-2010-2806;CVE-2010-2807;CVE-2010-2808;CVE-2010-3053;CVE-2010-3855;CVE-2011-3256;CVE-2011-3439;CVE-2012-1126;CVE-2012-1127;CVE-2012-1128;CVE-2012-1129;CVE-2012-1130;CVE-2012-1131;CVE-2012-1132;CVE-2012-1133;CVE-2012-1134;CVE-2012-1135;CVE-2012-1136;CVE-2012-1137;CVE-2012-1138;CVE-2012-1139;CVE-2012-1140;CVE-2012-1141;CVE-2012-1142;CVE-2012-1143;CVE-2012-1144;CVE-2012-5668;CVE-2012-5669;CVE-2012-5670;CVE-2014-2240;CVE-2014-2241;CVE-2014-9656;CVE-2014-9657;CVE-2014-9658;CVE-2014-9659;CVE-2014-9660;CVE-2014-9661;CVE-2014-9662;CVE-2014-9663;CVE-2014-9664;CVE-2014-9665;CVE-2014-9666;CVE-2014-9667;CVE-2014-9668;CVE-2014-9669;CVE-2014-9670;CVE-2014-9671;CVE-2014-9672;CVE-2014-9673;CVE-2014-9674;CVE-2014-9675;CVE-2014-9745;CVE-2014-9746;CVE-2014-9747;CVE-2016-10244;CVE-2016-10328;CVE-2017-7857;CVE-2017-7858;CVE-2017-7864;CVE-2017-8105;CVE-2017-8287;CVE-2018-6942;CVE-2020-15999;CVE-2023-2004;CVE-2025-27363;CVE-2026-23865;CVE-2026-50811
libpng,native,1.6.39,sbom versionInfo,v1.6.39,1.6.37,YES,YES,,1.6.58,YES,62,0,2,10,0,62,12,0,0,0,CVE-2004-0421;CVE-2004-0597;CVE-2004-0598;CVE-2004-0599;CVE-2004-0768;CVE-2004-0954;CVE-2004-0955;CVE-2006-0481;CVE-2006-3334;CVE-2006-5793;CVE-2007-2445;CVE-2007-5266;CVE-2007-5267;CVE-2007-5269;CVE-2008-3964;CVE-2008-5907;CVE-2009-0040;CVE-2009-2042;CVE-2009-5063;CVE-2010-0205;CVE-2010-1205;CVE-2011-2691;CVE-2011-3026;CVE-2011-3045;CVE-2011-3048;CVE-2011-3328;CVE-2011-3464;CVE-2013-6954;CVE-2013-7353;CVE-2013-7354;CVE-2014-0333;CVE-2014-9495;CVE-2015-0973;CVE-2015-7981;CVE-2015-8126;CVE-2015-8472;CVE-2015-8540;CVE-2016-10087;CVE-2017-12652;CVE-2018-13785;CVE-2018-14048;CVE-2018-14550;CVE-2019-17371;CVE-2019-6129;CVE-2019-7317;CVE-2021-4214;CVE-2022-3857;CVE-2025-28162;CVE-2025-28164;CVE-2025-64505;CVE-2025-64506;CVE-2025-64720;CVE-2025-65018;CVE-2025-66293;CVE-2026-22695;CVE-2026-22801;CVE-2026-25646;CVE-2026-33416;CVE-2026-33636;CVE-2026-34757;CVE-2026-3713;CVE-2026-40930
expat,native,2.5.0,sbom versionInfo,R_2_5_0,2.5.0,,YES,,2.8.2,YES,58,0,0,29,25,57,29,0,0,0,CVE-2009-2625;CVE-2009-3560;CVE-2009-3720;CVE-2011-2188;CVE-2013-0340;CVE-2013-0341;CVE-2016-0718;CVE-2017-11742;CVE-2018-20843;CVE-2021-45960;CVE-2021-46143;CVE-2022-22822;CVE-2022-22823;CVE-2022-22824;CVE-2022-22825;CVE-2022-22826;CVE-2022-22827;CVE-2022-23852;CVE-2022-23990;CVE-2022-25235;CVE-2022-25236;CVE-2022-25313;CVE-2022-25314;CVE-2022-25315;CVE-2022-40674;CVE-2022-43680;CVE-2023-52425;CVE-2023-52426;CVE-2024-28757;CVE-2024-45490;CVE-2024-45491;CVE-2024-45492;CVE-2024-50602;CVE-2024-8176;CVE-2025-59375;CVE-2025-66382;CVE-2026-24515;CVE-2026-25210;CVE-2026-32776;CVE-2026-32777;CVE-2026-32778;CVE-2026-41080;CVE-2026-45186;CVE-2026-4739;CVE-2026-50219;CVE-2026-56131;CVE-2026-56132;CVE-2026-56403;CVE-2026-56404;CVE-2026-56405;CVE-2026-56406;CVE-2026-56407;CVE-2026-56408;CVE-2026-56409;CVE-2026-56410;CVE-2026-56411;CVE-2026-56412;CVE-2026-72522
dnsmasq,native,2.51,sbom versionInfo,2.51,2.51,,YES,,,,53,0,9,27,38,53,27,0,0,0,CVE-2005-0876;CVE-2005-0877;CVE-2006-2017;CVE-2008-1447;CVE-2008-3350;CVE-2009-2957;CVE-2009-2958;CVE-2012-3411;CVE-2013-0198;CVE-2015-3294;CVE-2015-8899;CVE-2017-13704;CVE-2017-14491;CVE-2017-14492;CVE-2017-14493;CVE-2017-14494;CVE-2017-14495;CVE-2017-14496;CVE-2017-15107;CVE-2019-14513;CVE-2019-14834;CVE-2020-14312;CVE-2020-20145;CVE-2020-25681;CVE-2020-25682;CVE-2020-25683;CVE-2020-25684;CVE-2020-25685;CVE-2020-25686;CVE-2020-25687;CVE-2020-37127;CVE-2021-3448;CVE-2021-45951;CVE-2021-45952;CVE-2021-45953;CVE-2021-45954;CVE-2021-45955;CVE-2021-45956;CVE-2021-45957;CVE-2022-0934;CVE-2023-28450;CVE-2023-49441;CVE-2023-50387;CVE-2023-50868;CVE-2026-12725;CVE-2026-12969;CVE-2026-2291;CVE-2026-4890;CVE-2026-4891;CVE-2026-4892;CVE-2026-4893;CVE-2026-5172;CVE-2026-6507
SQLite,native,3.42.1,sbom versionInfo,3.42.1,,,YES,,3.53.4,YES,49,0,1,6,11,47,4,0,0,0,CVE-2011-0995;CVE-2015-3414;CVE-2015-7036;CVE-2017-6983;CVE-2017-6991;CVE-2017-7001;CVE-2017-7002;CVE-2019-19242;CVE-2019-19244;CVE-2019-19317;CVE-2019-19646;CVE-2019-19923;CVE-2019-19924;CVE-2019-19925;CVE-2019-19959;CVE-2019-5018;CVE-2019-8457;CVE-2020-11656;CVE-2020-13434;CVE-2020-13435;CVE-2020-13630;CVE-2020-13631;CVE-2020-13632;CVE-2020-13871;CVE-2020-15358;CVE-2020-9327;CVE-2020-9794;CVE-2020-9849;CVE-2020-9991;CVE-2021-0646;CVE-2021-20227;CVE-2021-45346;CVE-2022-21227;CVE-2022-31631;CVE-2022-43441;CVE-2023-7104;CVE-2024-0232;CVE-2025-29087;CVE-2025-29088;CVE-2025-3277;CVE-2025-6965;CVE-2025-70873;CVE-2025-7709;CVE-2026-11822;CVE-2026-11824;CVE-2026-50812;CVE-2026-50813;CVE-2026-54619;CVE-2026-54620
TensorFlow,native,2.9.1,sbom versionInfo,v2.9.1,,,YES,,,,48,0,0,45,3,3,0,0,0,0,CVE-2022-41880;CVE-2022-41884;CVE-2022-41886;CVE-2022-41887;CVE-2022-41888;CVE-2022-41889;CVE-2022-41890;CVE-2022-41891;CVE-2022-41893;CVE-2022-41894;CVE-2022-41895;CVE-2022-41896;CVE-2022-41897;CVE-2022-41898;CVE-2022-41899;CVE-2022-41900;CVE-2022-41901;CVE-2022-41902;CVE-2022-41907;CVE-2022-41908;CVE-2022-41909;CVE-2022-41910;CVE-2022-41911;CVE-2023-25658;CVE-2023-25659;CVE-2023-25660;CVE-2023-25661;CVE-2023-25662;CVE-2023-25663;CVE-2023-25664;CVE-2023-25665;CVE-2023-25666;CVE-2023-25667;CVE-2023-25668;CVE-2023-25669;CVE-2023-25670;CVE-2023-25671;CVE-2023-25672;CVE-2023-25673;CVE-2023-25674;CVE-2023-25675;CVE-2023-25676;CVE-2023-25801;CVE-2023-27579;CVE-2023-33976;CVE-2025-55556;CVE-2025-55559;CVE-2026-2492
